Transaction_ID,Date_Time,Country,Country_Code,State,DMA,City,Retail_Chain,Banner_Division,Banner_Region,Store_Type,Store_ID,Customer_ID,Product_SKU,Product_Name,Brand,Manufacturer,Product_Category,Quantity_Sold,Currency,Unit_Price_Local,Total_Sale_Amount,Discount_Percent,Final_Sale_Amount,Promotion_Type,Promotion_Flag,Payment_Method,Weekday,Month,Hour,Seasonality_Flag
TXN0000011,2024-04-24 11:10:29,United States,USA,LA,LA-DMA,Lafayette,CVS,CVS National,CVS National,Convenience,CVS3927,C412942,MO004,MorningOats Cup Maple,MorningOats,Acme Corp,Hot Cereal,3,USD,2.49,7.47,0.0,7.47,None,No,EBT,Wednesday,4,11,Easter
TXN0000012,2025-09-15 10:23:48,United States,USA,IL,CHI,Chicago,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA6310,C972064,MO001,MorningOats Instant Original 8ct,MorningOats,Acme Corp,Hot Cereal,1,USD,4.99,4.99,0.0,4.99,None,No,Cash,Monday,9,10,BackToSchool
TXN0000013,2024-09-02 08:56:36,United States,USA,DC,WAS,Washington,Aldi,Aldi National,Aldi National,Supermarket,ALD2133,C273148,GM002,Honey Nut Cheerios 14oz,Honey Nut Cheerios,General Mills,RTE Cereal,1,USD,4.49,4.49,0.29,3.19,Loyalty,Yes,Cash,Monday,9,8,BackToSchool
TXN0000014,2025-06-24 18:27:13,United States,USA,MD,BAL,Baltimore,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS6107,C559381,PP003,ProteinPeak Berry Crunch 12oz,ProteinPeak,Acme Corp,RTE Cereal,4,USD,7.49,29.96,0.0,29.96,None,No,EBT,Tuesday,6,18,None
TXN0000015,2025-04-07 09:14:04,United States,USA,CA,LAX,Long Beach,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E4608,C340062,CR001,Crunchwell Original Family 14oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.29,4.29,0.0,4.29,None,No,Credit Card,Monday,4,9,Easter
TXN0000016,2024-02-02 18:04:32,United States,USA,NY,NYC,Newark,Rouses,Rouses Other,Rouses Other,Supermarket,ROU9834,C704201,CR005,Crunchwell Multigrain 13oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,4.49,8.98,0.0,8.98,None,No,Mobile Pay,Friday,2,18,SuperBowl
TXN0000017,2024-09-05 16:51:26,United States,USA,IL,CHI,Chicago,Target.com,Target.com E-Commerce,Target.com E-Commerce,Online,TAR8062,C864491,PP002,ProteinPeak Chocolate Hazelnut,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.0,7.49,None,No,Credit Card,Thursday,9,16,BackToSchool
TXN0000018,2025-11-20 14:41:06,United States,USA,TX,DAL,Plano,Albertsons,Albertsons Southwest,Albertsons Southwest,Supermarket,ALB5073,C542374,CR007,Crunchwell Berry Burst 13oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.69,4.69,0.0,4.69,None,No,Debit Card,Thursday,11,14,Holiday
TXN0000019,2024-10-12 12:55:59,United States,USA,TX,HOU,Houston,Target,Target Central,Target Central,Hypermarket,TAR9856,C609231,PF002,Harvest Hearth 14oz,Harvest Hearth,Larksfield Foods,RTE Cereal,1,USD,4.79,4.79,0.09,4.36,Multi-Buy,Yes,Mobile Pay,Saturday,10,12,None
TXN0000020,2024-08-06 18:57:03,United States,USA,IL,CHI,Chicago,Whole Foods,Whole Foods National,Whole Foods National,Supermarket,WHO5345,C543555,PL002,GV Toasted Oats Original 14oz,Great Value,Walmart PL,RTE Cereal,2,USD,2.69,5.38,0.0,5.38,None,No,EBT,Tuesday,8,18,BackToSchool
TXN0000021,2025-11-08 15:09:12,United States,USA,CA,LAX,Los Angeles,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E9883,C994141,CR002,Crunchwell Original Mega 18oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,5.49,10.98,0.18,9.0,Loyalty,Yes,EBT,Saturday,11,15,Holiday
TXN0000022,2024-06-10 08:32:05,United States,USA,CA,SFO,San Francisco,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA2113,C697347,RD001,RootDay Oat Milk Original 32oz,RootDay,Acme Corp,Plant-Based Milk,3,USD,4.99,14.97,0.0,14.97,None,No,Debit Card,Monday,6,8,None
TXN0000023,2025-08-15 14:39:05,United States,USA,CO,DEN,Lakewood,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E9565,C515011,PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Acme Corp,RTE Cereal,3,USD,7.49,22.47,0.11,20.01,Bundle,Yes,Debit Card,Friday,8,14,BackToSchool
TXN0000024,2025-11-18 14:29:20,United States,USA,MD,BAL,Baltimore,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,Hypermarket,WAL8508,C176819,TG002,TrailGrove PB Chocolate 12oz,TrailGrove,Acme Corp,Granola,4,USD,6.49,25.96,0.0,25.96,None,No,EBT,Tuesday,11,14,Holiday
TXN0000025,2024-08-06 13:08:59,United States,USA,CA,LAX,Los Angeles,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,Supermarket,BRO7054,C837715,HN007,HoneyNest Frosted Flakes 14oz,HoneyNest,Acme Corp,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Cash,Tuesday,8,13,BackToSchool
TXN0000026,2025-09-18 21:51:41,United States,USA,PA,PHL,Wilmington,Walgreens,Walgreens National,Walgreens National,Convenience,WAL5905,C240814,PL002,GV Toasted Oats Original 14oz,Great Value,Walmart PL,RTE Cereal,2,USD,2.69,5.38,0.0,5.38,None,No,Cash,Thursday,9,21,BackToSchool
TXN0000027,2024-04-28 19:47:35,United States,USA,IL,CHI,Schaumburg,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA4450,C994343,RD002,RootDay Oat Milk Barista 32oz,RootDay,Acme Corp,Plant-Based Milk,1,USD,5.49,5.49,0.0,5.49,None,No,Cash,Sunday,4,19,Easter
TXN0000028,2025-06-01 13:57:58,United States,USA,CA,SFO,San Francisco,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,Online,WAL7939,C374680,PF002,Harvest Hearth 14oz,Harvest Hearth,Larksfield Foods,RTE Cereal,1,USD,4.79,4.79,0.21,3.78,Multi-Buy,Yes,Debit Card,Sunday,6,13,None
TXN0000029,2026-01-29 12:45:27,United States,USA,MI,DET,Detroit,Kroger,Kroger Columbus,Kroger Midwest,Supermarket,KRO3442,C679364,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,1,USD,7.99,7.99,0.0,7.99,None,No,Debit Card,Thursday,1,12,None
TXN0000030,2025-03-16 10:19:23,United States,USA,IN,IND,Indianapolis,Sprouts,Sprouts National,Sprouts National,Supermarket,SPR4441,C885884,RD001,RootDay Oat Milk Original 32oz,RootDay,Acme Corp,Plant-Based Milk,1,USD,4.99,4.99,0.29,3.54,Loyalty,Yes,Debit Card,Sunday,3,10,None
TXN0000031,2024-08-30 18:51:51,United States,USA,IL,CHI,Evanston,Walmart,Walmart Division 3 - Midwest,Walmart Midwest,Hypermarket,WAL3938,C531712,GM001,Cheerios 12oz,Cheerios,General Mills,RTE Cereal,3,USD,4.29,12.87,0.0,12.87,None,No,Debit Card,Friday,8,18,BackToSchool
TXN0000032,2024-09-30 10:44:06,United States,USA,MN,MIN,Minneapolis,Aldi,Aldi National,Aldi National,Supermarket,ALD4644,C420015,CR007,Crunchwell Berry Burst 13oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,4.69,9.38,0.0,9.38,None,No,Debit Card,Monday,9,10,BackToSchool
TXN0000033,2024-08-16 07:12:25,United States,USA,CA,LAX,Los Angeles,Winn-Dixie,Winn-Dixie Southeast,Winn-Dixie Southeast,Supermarket,WIN6753,C984642,TG007,TrailGrove Bars Honey Almond,TrailGrove,Acme Corp,Bar,1,USD,5.49,5.49,0.0,5.49,None,No,EBT,Friday,8,7,BackToSchool
TXN0000034,2024-12-05 20:07:56,United States,USA,DC,WAS,Washington,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E5349,C863934,CR002,Crunchwell Original Mega 18oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,5.49,5.49,0.0,5.49,None,No,Cash,Thursday,12,20,Holiday
TXN0000035,2025-03-22 14:32:07,United States,USA,MN,MIN,Bloomington,Rouses,Rouses Other,Rouses Other,Supermarket,ROU5173,C173372,CR002,Crunchwell Original Mega 18oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,5.49,10.98,0.14,9.44,Multi-Buy,Yes,Cash,Saturday,3,14,None
TXN0000036,2025-09-30 11:54:07,United States,USA,FL,ORL,Daytona Beach,CVS,CVS National,CVS National,Convenience,CVS6067,C410016,RD001,RootDay Oat Milk Original 32oz,RootDay,Acme Corp,Plant-Based Milk,1,USD,4.99,4.99,0.0,4.99,None,No,EBT,Tuesday,9,11,BackToSchool
TXN0000037,2024-05-10 10:42:24,United States,USA,AR,AR-DMA,Little Rock,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA5930,C923927,PP003,ProteinPeak Berry Crunch 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.1,6.74,Bundle,Yes,EBT,Friday,5,10,None
TXN0000038,2025-09-13 14:29:28,United States,USA,AZ,PHX,Scottsdale,CVS,CVS National,CVS National,Convenience,CVS8752,C277934,PF001,Field & Honey 14oz,Field & Honey,Larksfield Foods,RTE Cereal,3,USD,4.39,13.17,0.0,13.17,None,No,Credit Card,Saturday,9,14,BackToSchool
TXN0000039,2024-10-17 13:40:39,United States,USA,CA,LAX,Long Beach,Target.com,Target.com E-Commerce,Target.com E-Commerce,Online,TAR6085,C598216,HN001,HoneyNest Original 12oz,HoneyNest,Acme Corp,RTE Cereal,2,USD,4.29,8.58,0.11,7.64,Price Off,Yes,EBT,Thursday,10,13,None
TXN0000040,2026-05-20 16:29:26,United States,USA,OH,CLE,Cleveland,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS7291,C907451,MO001,MorningOats Instant Original 8ct,MorningOats,Acme Corp,Hot Cereal,1,USD,4.99,4.99,0.27,3.64,Price Off,Yes,Credit Card,Wednesday,5,16,None
TXN0000041,2026-03-08 12:11:51,United States,USA,DC,WAS,Alexandria,Meijer,Meijer Midwest,Meijer Midwest,Hypermarket,MEI1822,C578634,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,1,USD,7.99,7.99,0.0,7.99,None,No,Debit Card,Sunday,3,12,None
TXN0000042,2026-03-31 12:33:35,United States,USA,FL,MIA,Fort Lauderdale,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA9270,C266889,PL001,GV Honey Toasted Oats 14oz,Great Value,Walmart PL,RTE Cereal,3,USD,2.89,8.67,0.0,8.67,None,No,Mobile Pay,Tuesday,3,12,None
TXN0000043,2025-04-05 11:15:53,United States,USA,MS,MS-DMA,Hattiesburg,Aldi,Aldi National,Aldi National,Supermarket,ALD4919,C345884,HN003,HoneyNest Chocolate 12oz,HoneyNest,Acme Corp,RTE Cereal,1,USD,4.39,4.39,0.0,4.39,None,No,Cash,Saturday,4,11,Easter
TXN0000044,2024-12-09 11:34:05,United States,USA,GA,ATL,Marietta,Whole Foods,Whole Foods National,Whole Foods National,Supermarket,WHO3503,C446954,RD002,RootDay Oat Milk Barista 32oz,RootDay,Acme Corp,Plant-Based Milk,1,USD,5.49,5.49,0.0,5.49,None,No,EBT,Monday,12,11,Holiday
TXN0000045,2025-04-22 12:13:53,United States,USA,CO,DEN,Lakewood,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS1320,C600149,KL001,Frosted Flakes 13.5oz,Frosted Flakes,Kellanova,RTE Cereal,3,USD,4.59,13.77,0.0,13.77,None,No,Credit Card,Tuesday,4,12,Easter
TXN0000046,2024-12-26 11:24:54,United States,USA,OH,CLE,Akron,Walgreens,Walgreens National,Walgreens National,Convenience,WAL9947,C330080,PF001,Field & Honey 14oz,Field & Honey,Larksfield Foods,RTE Cereal,2,USD,4.39,8.78,0.0,8.78,None,No,Cash,Thursday,12,11,Holiday
TXN0000047,2025-03-22 13:24:21,United States,USA,AR,AR-DMA,Fayetteville,H-E-B,H-E-B Other,H-E-B Other,Supermarket,H-E8657,C128276,PL002,GV Toasted Oats Original 14oz,Great Value,Walmart PL,RTE Cereal,1,USD,2.69,2.69,0.0,2.69,None,No,Mobile Pay,Saturday,3,13,None
TXN0000048,2025-08-29 13:01:05,United States,USA,AL,AL-DMA,Birmingham,Meijer,Meijer Midwest,Meijer Midwest,Hypermarket,MEI3977,C576786,CR002,Crunchwell Original Mega 18oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,5.49,5.49,0.0,5.49,None,No,Cash,Friday,8,13,BackToSchool
TXN0000049,2024-12-11 16:24:17,United States,USA,OH,CIN,Dayton,Winn-Dixie,Winn-Dixie Southeast,Winn-Dixie Southeast,Supermarket,WIN2341,C466960,MO001,MorningOats Instant Original 8ct,MorningOats,Acme Corp,Hot Cereal,1,USD,4.99,4.99,0.0,4.99,None,No,Debit Card,Wednesday,12,16,Holiday
TXN0000050,2025-10-27 09:41:02,United States,USA,OH,CIN,Cincinnati,Rouses,Rouses Other,Rouses Other,Supermarket,ROU1333,C328552,TG002,TrailGrove PB Chocolate 12oz,TrailGrove,Acme Corp,Granola,1,USD,6.49,6.49,0.19,5.26,Price Off,Yes,Mobile Pay,Monday,10,9,None
TXN0000051,2025-12-17 11:23:10,United States,USA,FL,MIA,Hollywood FL,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS2876,C213349,GM002,Honey Nut Cheerios 14oz,Honey Nut Cheerios,General Mills,RTE Cereal,2,USD,4.49,8.98,0.0,8.98,None,No,EBT,Wednesday,12,11,Holiday
TXN0000052,2024-01-27 20:36:43,United States,USA,IN,IND,Carmel,Whole Foods,Whole Foods National,Whole Foods National,Supermarket,WHO4249,C354646,CR003,Crunchwell Honey Nut 14oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.49,4.49,0.0,4.49,None,No,Credit Card,Saturday,1,20,None
TXN0000053,2025-12-14 16:54:43,United States,USA,FL,MIA,Miami,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E1672,C172306,PP002,ProteinPeak Chocolate Hazelnut,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.0,7.49,None,No,EBT,Sunday,12,16,Holiday
TXN0000054,2025-10-25 12:54:26,United States,USA,OR,PDX,Portland,Wegmans,Wegmans Northeast,Wegmans Northeast,Supermarket,WEG6934,C260422,TG007,TrailGrove Bars Honey Almond,TrailGrove,Acme Corp,Bar,3,USD,5.49,16.47,0.0,16.47,None,No,Mobile Pay,Saturday,10,12,None
TXN0000055,2024-06-29 16:41:17,United States,USA,FL,MIA,Hollywood FL,Aldi,Aldi National,Aldi National,Supermarket,ALD8616,C993085,PL001,GV Honey Toasted Oats 14oz,Great Value,Walmart PL,RTE Cereal,2,USD,2.89,5.78,0.0,5.78,None,No,Debit Card,Saturday,6,16,None
TXN0000056,2026-04-30 20:17:56,United States,USA,AZ,PHX,Tempe,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E7209,C290672,PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.0,7.49,None,No,Mobile Pay,Thursday,4,20,Easter
TXN0000057,2024-08-05 12:16:21,United States,USA,NY,NYC,Jersey City,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS5526,C189771,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,1,USD,7.99,7.99,0.0,7.99,None,No,Debit Card,Monday,8,12,BackToSchool
TXN0000058,2026-01-07 12:35:48,United States,USA,NY,NYC,Newark,Walmart.com,Walmart.com E-Commerce,Walmart.com E-Commerce,Online,WAL9041,C524045,KL001,Frosted Flakes 13.5oz,Frosted Flakes,Kellanova,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Debit Card,Wednesday,1,12,None
TXN0000059,2024-11-09 14:23:30,United States,USA,PA,PHL,Camden,Wegmans,Wegmans Northeast,Wegmans Northeast,Supermarket,WEG6419,C363615,PP002,ProteinPeak Chocolate Hazelnut,ProteinPeak,Acme Corp,RTE Cereal,2,USD,7.49,14.98,0.0,14.98,None,No,Debit Card,Saturday,11,14,Holiday
TXN0000060,2024-05-03 15:20:07,United States,USA,OH,CIN,Hamilton,H-E-B,H-E-B Other,H-E-B Other,Supermarket,H-E4138,C718226,CR007,Crunchwell Berry Burst 13oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,4.69,9.38,0.0,9.38,None,No,EBT,Friday,5,15,None
TXN0000061,2025-09-03 11:06:53,United States,USA,IL,CHI,Naperville,Sprouts,Sprouts National,Sprouts National,Supermarket,SPR3939,C387636,HN007,HoneyNest Frosted Flakes 14oz,HoneyNest,Acme Corp,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Credit Card,Wednesday,9,11,BackToSchool
TXN0000062,2024-02-25 13:44:08,United States,USA,MS,MS-DMA,Gulfport,Albertsons,Albertsons National,Albertsons National,Supermarket,ALB1200,C457256,TG001,TrailGrove Honey Almond 12oz,TrailGrove,Acme Corp,Granola,1,USD,6.49,6.49,0.0,6.49,None,No,Debit Card,Sunday,2,13,None
TXN0000063,2024-02-22 11:55:30,United States,USA,GA,ATL,Atlanta,Whole Foods,Whole Foods National,Whole Foods National,Supermarket,WHO9056,C259097,CR003,Crunchwell Honey Nut 14oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.49,4.49,0.0,4.49,None,No,Debit Card,Thursday,2,11,None
TXN0000064,2026-04-10 13:19:05,United States,USA,TN,MEM-DMA,Memphis,Walgreens,Walgreens National,Walgreens National,Convenience,WAL7818,C913373,TG002,TrailGrove PB Chocolate 12oz,TrailGrove,Acme Corp,Granola,1,USD,6.49,6.49,0.0,6.49,None,No,EBT,Friday,4,13,Easter
TXN0000065,2025-01-24 12:28:19,United States,USA,CA,SFO,Oakland,Costco,Costco West,Costco West,Hypermarket,COS1986,C377501,TG002,TrailGrove PB Chocolate 12oz,TrailGrove,Acme Corp,Granola,4,USD,6.49,25.96,0.21,20.52,Multi-Buy,Yes,Credit Card,Friday,1,12,None
TXN0000066,2024-06-09 11:35:04,United States,USA,IL,CHI,Evanston,Meijer,Meijer Midwest,Meijer Midwest,Hypermarket,MEI8699,C396451,HN007,HoneyNest Frosted Flakes 14oz,HoneyNest,Acme Corp,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Mobile Pay,Sunday,6,11,None
TXN0000067,2024-03-13 15:59:16,United States,USA,MO,KAN,Kansas City,Wegmans,Wegmans Northeast,Wegmans Northeast,Supermarket,WEG2880,C174878,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,1,USD,7.99,7.99,0.26,5.91,Bundle,Yes,Credit Card,Wednesday,3,15,None
TXN0000068,2024-06-18 17:38:47,United States,USA,OR,PDX,Beaverton,Meijer,Meijer Midwest,Meijer Midwest,Hypermarket,MEI3037,C385470,GM002,Honey Nut Cheerios 14oz,Honey Nut Cheerios,General Mills,RTE Cereal,1,USD,4.49,4.49,0.0,4.49,None,No,EBT,Tuesday,6,17,None
TXN0000069,2025-07-06 13:05:38,United States,USA,TX,DAL,Arlington,Sams Club,Sams Club National,Sams Club National,Hypermarket,SAM5102,C976566,CR001,Crunchwell Original Family 14oz,Crunchwell,Acme Corp,RTE Cereal,1,USD,4.29,4.29,0.0,4.29,None,No,EBT,Sunday,7,13,None
TXN0000070,2025-08-24 20:48:43,United States,USA,OR,PDX,Hillsboro,Target,Target Western,Target Western,Hypermarket,TAR3870,C391668,MO001,MorningOats Instant Original 8ct,MorningOats,Acme Corp,Hot Cereal,1,USD,4.99,4.99,0.0,4.99,None,No,Debit Card,Sunday,8,20,BackToSchool
TXN0000071,2025-08-22 12:52:31,United States,USA,DC,WAS,Arlington VA,Sprouts,Sprouts National,Sprouts National,Supermarket,SPR7690,C827369,PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.13,6.52,Multi-Buy,Yes,Mobile Pay,Friday,8,12,BackToSchool
TXN0000072,2024-10-22 14:25:52,United States,USA,MO,STL,St Louis,Meijer,Meijer Midwest,Meijer Midwest,Hypermarket,MEI2442,C964998,PP001,ProteinPeak Vanilla Almond Original 12oz,ProteinPeak,Acme Corp,RTE Cereal,1,USD,7.49,7.49,0.27,5.47,Loyalty,Yes,Credit Card,Tuesday,10,14,None
TXN0000073,2025-11-04 18:29:26,United States,USA,TX,DAL,Plano,Amazon,Amazon E-Commerce,Amazon E-Commerce,Online,AMA9167,C402020,TG007,TrailGrove Bars Honey Almond,TrailGrove,Acme Corp,Bar,1,USD,5.49,5.49,0.19,4.45,Bundle,Yes,Mobile Pay,Tuesday,11,18,Holiday
TXN0000074,2025-12-16 13:01:40,United States,USA,FL,MIA,Miami,Instacart,Instacart E-Commerce,Instacart E-Commerce,Online,INS3594,C197736,HN007,HoneyNest Frosted Flakes 14oz,HoneyNest,Acme Corp,RTE Cereal,1,USD,4.59,4.59,0.0,4.59,None,No,Debit Card,Tuesday,12,13,Holiday
TXN0000075,2026-05-11 19:29:07,United States,USA,AL,AL-DMA,Birmingham,Aldi,Aldi National,Aldi National,Supermarket,ALD5781,C605937,MO004,MorningOats Cup Maple,MorningOats,Acme Corp,Hot Cereal,2,USD,2.49,4.98,0.0,4.98,None,No,Mobile Pay,Monday,5,19,None
TXN0000076,2024-09-06 12:09:24,United States,USA,IL,CHI,Naperville,Kroger,Kroger Mariano's,Kroger Midwest,Supermarket,KRO5526,C925981,GM002,Honey Nut Cheerios 14oz,Honey Nut Cheerios,General Mills,RTE Cereal,2,USD,4.49,8.98,0.0,8.98,None,No,EBT,Friday,9,12,BackToSchool
TXN0000077,2024-09-30 17:18:46,United States,USA,CA,LAX,Pasadena CA,Publix,Publix Other,Publix Other,Supermarket,PUB8316,C899929,MO007,MorningOats Steel Cut 30oz,MorningOats,Acme Corp,Hot Cereal,1,USD,7.99,7.99,0.0,7.99,None,No,EBT,Monday,9,17,BackToSchool
TXN0000078,2025-01-21 12:20:55,United States,USA,IL,CHI,Naperville,7-Eleven,7-Eleven National,7-Eleven National,Convenience,7-E7274,C433632,HN001,HoneyNest Original 12oz,HoneyNest,Acme Corp,RTE Cereal,3,USD,4.29,12.87,0.0,12.87,None,No,Mobile Pay,Tuesday,1,12,None
TXN0000079,2025-12-23 19:24:24,United States,USA,AL,BIR-DMA,Anniston,Publix,Publix Other,Publix Other,Supermarket,PUB9115,C718849,QT001,Quaker Old Fashioned 18oz,Quaker,PepsiCo,Hot Cereal,1,USD,5.99,5.99,0.0,5.99,None,No,Cash,Tuesday,12,19,Holiday
TXN0000080,2024-04-12 18:28:06,United States,USA,PA,PHL,Camden,Walmart,Walmart Division 4 - Northeast,Walmart Northeast,Hypermarket,WAL3361,C377896,PL002,GV Toasted Oats Original 14oz,Great Value,Walmart PL,RTE Cereal,2,USD,2.69,5.38,0.25,4.04,Loyalty,Yes,Cash,Friday,4,18,Easter
TXN0000081,2025-09-30 15:41:05,United States,USA,CA,SFO,San Jose,Walgreens,Walgreens National,Walgreens National,Convenience,WAL7226,C896290,QT001,Quaker Old Fashioned 18oz,Quaker,PepsiCo,Hot Cereal,1,USD,5.99,5.99,0.0,5.99,None,No,Mobile Pay,Tuesday,9,15,BackToSchool
TXN0000082,2025-07-08 08:04:15,United States,USA,MS,MS-DMA,Gulfport,Brookshires,Brookshire's Texas-Louisiana,Brookshire's Southwest,Supermarket,BRO2480,C205389,CR004,Crunchwell Honey Nut Mega 18oz,Crunchwell,Acme Corp,RTE Cereal,2,USD,5.69,11.38,0.0,11.38,None,No,Mobile Pay,Tuesday,7,8,None
