Review_ID,SKU,Brand,Category,Retailer,Date,Rating_1to5,Verified_Purchase,Topic_Tags,Sentiment_-1to1,Review_Length_Chars,Helpful_Votes,Source
PR_00000079,CR005,Crunchwell,RTE Cereal,Amazon,2025-07-28,5,No,kids-love-it;value;health,0.135,820,0,Amazon Brand Analytics
PR_00000080,CR001,Crunchwell,RTE Cereal,Amazon,2025-03-07,4,Yes,sustainability;convenience,0.279,120,5,Amazon Brand Analytics
PR_00000081,PP001,ProteinPeak,RTE Cereal,Walmart.com,2024-06-30,4,No,packaging-design;value;sustainability,0.92,1200,1,Bazaarvoice
PR_00000082,HN001,HoneyNest,RTE Cereal,Amazon,2024-02-06,5,Yes,health,0.182,60,12,Amazon Brand Analytics
PR_00000083,CR006,Crunchwell,RTE Cereal,Amazon,2025-06-17,4,Yes,packaging-design;taste,0.344,60,1,Amazon Brand Analytics
PR_00000084,CR004,Crunchwell,RTE Cereal,Walmart.com,2025-07-06,4,Yes,athlete-fuel,0.85,1200,72,Bazaarvoice
PR_00000085,HN007,HoneyNest,RTE Cereal,Amazon,2025-03-08,5,Yes,kids-love-it;value,0.298,820,5,Amazon Brand Analytics
PR_00000086,HN007,HoneyNest,RTE Cereal,DTC,2024-10-24,5,Yes,packaging-design;convenience,0.472,260,12,Bazaarvoice
PR_00000087,TG001,TrailGrove,Granola,Walmart.com,2025-08-23,5,Yes,athlete-fuel;packaging-design,0.969,180,1,Bazaarvoice
PR_00000088,RD001,RootDay,Plant-Based Milk,Kroger.com,2025-08-08,5,Yes,health,0.676,640,2,Bazaarvoice
PR_00000089,RD002,RootDay,Plant-Based Milk,Amazon,2024-09-20,5,Yes,kids-love-it,0.248,1200,0,Amazon Brand Analytics
PR_00000090,HN003,HoneyNest,RTE Cereal,Amazon,2024-05-17,4,No,taste;family-occasion,0.726,180,2,Amazon Brand Analytics
PR_00000091,PL002,Great Value,RTE Cereal,Target.com,2026-01-07,4,Yes,sustainability,0.256,120,0,Bazaarvoice
PR_00000092,TG007,TrailGrove,Bar,Amazon,2024-05-18,4,Yes,taste,0.482,420,0,Amazon Brand Analytics
PR_00000093,GM001,Cheerios,RTE Cereal,Walmart.com,2024-08-26,4,Yes,taste;athlete-fuel,0.233,1200,1,Bazaarvoice
PR_00000094,PP002,ProteinPeak,RTE Cereal,Walmart.com,2024-03-28,4,Yes,convenience;family-occasion,0.632,1200,0,Bazaarvoice
PR_00000095,HN001,HoneyNest,RTE Cereal,Instacart,2024-06-04,3,Yes,ingredient-concern;out-of-stock,-0.577,640,38,Amazon Brand Analytics
PR_00000096,TG001,TrailGrove,Granola,Amazon,2026-01-13,5,Yes,sustainability;packaging-design,0.144,60,0,Amazon Brand Analytics
PR_00000097,CR007,Crunchwell,RTE Cereal,Target.com,2025-12-19,5,Yes,convenience,0.885,120,5,Bazaarvoice
PR_00000098,TG007,TrailGrove,Bar,Kroger.com,2026-03-16,5,Yes,taste;kids-love-it,0.11,60,0,Bazaarvoice
PR_00000099,TG002,TrailGrove,Granola,Amazon,2025-05-19,4,No,kids-love-it,0.965,60,2,Amazon Brand Analytics
PR_00000100,PL002,Great Value,RTE Cereal,Amazon,2024-03-08,5,Yes,athlete-fuel,0.818,120,0,Amazon Brand Analytics
