Brand,DMA,Wave,Wave_Close_Date,Attribute,Top_Two_Box_Pct,N_Respondents,Source,Methodology_Note
Crunchwell,US-NAT,FY25Q1,2025-03-15,Trust,72.3,186,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q3,2025-09-15,Modernity,48.4,289,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Trust,71.0,282,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Relevance,62.7,215,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Quality,68.0,203,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Taste,72.6,208,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY25Q4,2025-12-15,Modernity,47.7,220,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Trust,69.2,288,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Relevance,60.7,278,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Quality,66.2,299,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Taste,70.6,182,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q1,2026-03-15,Modernity,46.9,209,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Trust,67.4,317,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Relevance,58.6,267,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Quality,64.1,291,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Taste,68.2,180,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,LA-DMA,FY26Q2,2026-06-15,Modernity,45.6,247,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY25Q1,2025-03-15,Trust,76.1,225,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q1,2025-03-15,Relevance,71.0,207,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY25Q1,2025-03-15,Quality,73.9,256,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q1,2025-03-15,Taste,77.8,309,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q1,2025-03-15,Modernity,55.3,219,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY25Q2,2025-06-15,Trust,74.7,221,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q2,2025-06-15,Relevance,70.1,315,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY25Q2,2025-06-15,Quality,74.0,262,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q2,2025-06-15,Taste,77.0,208,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q2,2025-06-15,Modernity,55.5,258,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY25Q3,2025-09-15,Trust,74.4,241,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q3,2025-09-15,Relevance,69.9,200,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY25Q3,2025-09-15,Quality,72.0,304,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q3,2025-09-15,Taste,77.8,316,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q3,2025-09-15,Modernity,54.6,212,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY25Q4,2025-12-15,Trust,75.4,320,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q4,2025-12-15,Relevance,67.2,315,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY25Q4,2025-12-15,Quality,73.9,288,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q4,2025-12-15,Taste,78.1,318,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY25Q4,2025-12-15,Modernity,54.1,231,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY26Q1,2026-03-15,Trust,75.5,282,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q1,2026-03-15,Relevance,68.2,275,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY26Q1,2026-03-15,Quality,72.9,312,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q1,2026-03-15,Taste,76.9,243,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q1,2026-03-15,Modernity,52.3,266,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-MW,FY26Q2,2026-06-15,Trust,73.9,238,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q2,2026-06-15,Relevance,66.2,181,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-MW,FY26Q2,2026-06-15,Quality,72.0,195,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q2,2026-06-15,Taste,76.3,188,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-MW,FY26Q2,2026-06-15,Modernity,53.4,198,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-SE,FY25Q1,2025-03-15,Trust,72.0,251,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q1,2025-03-15,Relevance,68.4,234,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-SE,FY25Q1,2025-03-15,Quality,70.1,301,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q1,2025-03-15,Taste,73.4,301,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q1,2025-03-15,Modernity,52.7,228,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
Crunchwell,US-SE,FY25Q2,2025-06-15,Trust,71.0,290,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q2,2025-06-15,Relevance,66.7,285,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — Cory's lead-indicator attribute
Crunchwell,US-SE,FY25Q2,2025-06-15,Quality,69.9,193,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q2,2025-06-15,Taste,74.4,205,Kantar Brand Equity Tracker,5pt top-two-box; long-running attribute since 2019
Crunchwell,US-SE,FY25Q2,2025-06-15,Modernity,50.4,266,Kantar Brand Equity Tracker,5pt top-two-box; added FY24 — paired with Relevance
