launch_id,brand,manufacturer,sku_new,product_description,category,subcategory,launch_date,launch_retailers,launch_dmas,pack_oz,launch_price_usd,claim_headline,trade_support,buzz_index_day30,acv_at_launch_pct,acv_day_90_pct,acv_day_180_pct,year1_velocity_units_per_store_per_wk,status,intel_source,notes
LCH00011,Catalina Crunch,Catalina,CC-VANL-9,Catalina Crunch Vanilla 9oz,RTE Cereal,Wellness Protein,2025-10-12,"Sprouts;Whole Foods;Target;Amazon","ALL",9,6.99,Keto-friendly. 11g protein,DTC-first then retail,0.54,8,18,26,2.6,Live,Tribe Dynamics,
LCH00012,Bear Naked,Kellanova,KL-BNGB-12,Bear Naked Granola Birthday Cake 12oz,Granola,Granola Pouch,2025-09-29,"Kroger;Target;Whole Foods","ALL",12,6.49,Birthday cake granola — limited edition,Endcap + IG push,0.39,22,32,N/A,5.1,Limited Release,Mintel GNPD,LTO; pulled after 6 months
LCH00013,Nature's Path,Nature's Path,NP-SUEN-12,Nature's Path Superfood Energy Granola 12oz,Granola,Granola Pouch,2025-12-01,"Whole Foods;Sprouts;Amazon;Kroger","ALL",12,7.49,Organic. 11g protein. With chia,Sustainability-led campaign,0.46,14,22,28,2.8,Live,Mintel GNPD,
LCH00014,Califia Farms,Califia,CF-OMUN-32,Califia Oat Milk Unsweetened 32oz,Plant-Based Milk,Oat,2025-07-22,"Whole Foods;Sprouts;Target;Kroger;Costco","ALL",32,5.49,No added sugar. Barista-quality,Cafe partnerships + IG creators,0.61,32,52,64,7.4,Live,Mintel GNPD,Direct RootDay Barista threat
LCH00015,Oatly,Oatly,OL-OMCH-32,Oatly Chocolate Whole 32oz,Plant-Based Milk,Oat,2025-04-08,"Walmart;Target;Kroger;Whole Foods","ALL",32,5.99,Chocolate that's not bad for the planet,National creator push,0.74,38,56,68,8.1,Live,Mintel GNPD,
LCH00016,Silk,Danone,DN-SOCV-32,Silk Oat Cream Vanilla 32oz,Plant-Based Milk,Oat,2025-11-17,"Walmart;Target;Albertsons;Kroger","ALL",32,4.79,Creamier. Smoother. Vanilla,Targeted to coffee occasion,0.43,42,58,N/A,6.8,Live,Mintel GNPD,
LCH00017,KIND,Mars,MA-KGCB-7,KIND Granola Bars Caramel + Sea Salt 7oz,Bar,Granola Bar,2025-08-12,"Walmart;Target;Kroger;Costco","ALL",7,5.49,Caramel + sea salt; gluten-free,Endcap + sampling,0.52,46,62,68,7.3,Live,Mintel GNPD,Direct TrailGrove Bars competition
LCH00018,RXBAR,Kellanova,KL-RXCD-7,RXBAR Cookie Dough 7oz,Bar,Granola Bar,2025-06-30,"Walmart;Target;Costco;Whole Foods","ALL",7,8.99,12g protein. No BS,Performance / fitness audience,0.58,38,52,58,6.2,Live,Mintel GNPD,
LCH00019,Crunchwell,Acme Corp,CR006,Crunchwell Cinnamon Twist 14oz,RTE Cereal,Family Sweet,2025-02-10,"Walmart;Target;Kroger;Albertsons;Publix","ALL",14,4.59,Cinnamon swirl in every bite,Standard launch — endcap 4 weeks; modest media,0.31,38,42,41,4.1,Active-Underperform,Internal Acme launch tracker,Acme launch — underperformed plan; pack refresh planned Q3 2026
LCH00020,ProteinPeak,Acme Corp,PP002,ProteinPeak Chocolate Hazelnut 12oz,RTE Cereal,Wellness Protein,2025-04-15,"Target;Whole Foods;Sprouts;Amazon;Kroger","ALL",12,7.49,12g protein. Chocolate hazelnut indulgence,Sage Park athlete-led campaign + Target Roundel,0.69,28,38,42,5.4,Live,Internal Acme launch tracker,Acme launch — on plan
LCH00021,ProteinPeak,Acme Corp,PP005-PROPOSED,ProteinPeak Cinnamon Crunch 12oz,RTE Cereal,Wellness Protein,2026-04-20,"Target;Whole Foods;Sprouts;Amazon","ALL",12,7.49,12g protein. Cinnamon crunch flavor,Sage Park Q2 2026 athlete cohort,0.42,N/A,N/A,N/A,N/A,Pre-Launch,Internal Acme launch tracker,Acme upcoming launch — Q2 2026
LCH00022,RootDay,Acme Corp,RD006,RootDay Almond Original 32oz,Plant-Based Milk,Almond,2024-09-09,"Whole Foods;Sprouts;Target;Kroger","ALL",32,4.49,RootDay enters almond,New-format expansion,0.34,18,32,42,5.1,Active,Internal Acme launch tracker,Acme launch — RootDay platform extension
LCH00023,RootDay,Acme Corp,RD008,RootDay Coconut Blend 32oz,Plant-Based Milk,Coconut,2025-03-04,"Whole Foods;Sprouts","ALL",32,4.99,Coconut + oat blend,Boutique launch; limited distribution,0.21,9,16,22,2.4,Active,Internal Acme launch tracker,Acme launch — niche
LCH00024,MorningOats,Acme Corp,MO008,MorningOats Overnight Vanilla 8oz,Hot Cereal,Overnight,2024-08-19,"Target;Whole Foods;Sprouts;Kroger","ALL",8,5.99,Refrigerator-ready overnight oats,Wellness influencer push,0.38,16,26,28,3.2,Active,Internal Acme launch tracker,Acme launch — new format pilot
LCH00025,Honey Bunches of Oats,Post Foods,PF-HBLM-14,Honey Bunches of Oats Lemon Drizzle 14oz,RTE Cereal,Family Sweet,2026-03-30,"Walmart;Kroger;Albertsons","ALL",14,4.39,Limited edition spring lemon,4-week endcap,0.36,N/A,N/A,N/A,N/A,Pre-Launch,NielsenIQ Innovation Tracker,Just-launched Post LTO
LCH00026,Cheerios,General Mills,GM-CHPB-12,Cheerios Peanut Butter 12oz,RTE Cereal,Family Sweet,2026-04-06,"Walmart;Target;Kroger;Costco","ALL",12,4.49,Real peanut butter,National TV + 4-wk endcap,0.74,N/A,N/A,N/A,N/A,Pre-Launch,NielsenIQ Innovation Tracker,Recently launched; momentum building
LCH00027,Off Limits,Off Limits,OL-ZAPP-9,Off Limits Zombie Cereal 9oz,RTE Cereal,Wellness Protein,2025-10-21,"Sprouts;Whole Foods;Target;DTC","ALL",9,8.49,Plant-based protein. Brain-fuel,Creator-led; 80 nano/micro influencers Q4 2025,0.62,5,12,18,1.8,Live,Tribe Dynamics + Spate,Indie brand DTC-first
LCH00028,365 by Whole Foods,Walmart PL,N/A,365 Honey Almond Toasted Oats 14oz,RTE Cereal,Family Sweet,2025-09-22,"Whole Foods","ALL",14,3.49,Whole Foods PL response to Honey Bunches Almond,WFM-only,0.12,42,48,52,4.2,Live,Mintel GNPD,WFM PL move
LCH00029,Trader Joe's,Trader Joes,TJ-MAPM-12,Trader Joes Maple Pecan Granola 12oz,Granola,Granola Pouch,2025-11-12,"Trader Joes","ALL",12,3.99,TJ's house take on maple pecan,TJ Fearless Flyer,0.41,4,6,8,N/A,Live,Mintel GNPD,Off-channel; not in NielsenIQ
LCH00030,Crunchwell,Acme Corp,CR009-PROPOSED,Crunchwell Pack Refresh - all hero SKUs,RTE Cereal,Family Oat / Family Sweet,2026-08-15,"Walmart;Target;Kroger;Albertsons;Publix;Costco","ALL-Phase-1",14,4.49,New look. Same Crunchwell you love.,$1.4M LA-targeted media + 8-wk endcap,0.45,N/A,N/A,N/A,N/A,Pre-Launch,Internal Acme launch tracker,Pack refresh tied to LA recovery plan Leg 3
